nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,2,1,0.09,0,0.610639115069735,0.647944477464532
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,2,4,0.18,0.18,0.5,0.353424260435199
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,2,7,0.51,0.48,0.53742984534375,0.1767121302176
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,3,2,0,0,0.5,0.43522626656659
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,3,5,0,0,0.5,0.431779488639318
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,3,8,0.3,0,0.817574401620406,0.329192760925069
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,3,11,0.3,0.6,0.182425523806356,0.109995862753205
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,3,14,1,1,0.5,0.0284911118439627
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,1,0,0.054,0.054,0.5,1
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,2,1,0,0,0.5,0.55
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,2,4,0.09,0,0.610639115069735,0.3
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,2,7,0.18,0.18,0.5,0.15
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,3,2,0,0,0.5,0.3025
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,3,5,0,0,0.5,0.366510907973013
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,3,8,0,0,0.5,0.274915040712552
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,3,11,0.3,0,0.817574401620406,0.0999575203562762
14,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,16,0,3,14,0.3,0.6,0.182425523806356,0.0225
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,1,0,0.054,0.054,0.5,1
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,2,1,0,0,0.5,0.55
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,2,4,0.09,0,0.610639115069735,0.3
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,2,7,0.18,0.18,0.5,0.15
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,3,2,0,0,0.5,0.3025
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,3,5,0,0,0.5,0.366510907973013
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,3,8,0,0,0.5,0.274915040712552
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,3,11,0.3,0,0.817574401620406,0.0999575203562762
15,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,17,0,3,14,0.3,0.6,0.182425523806356,0.0225
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,1,0,0.054,0.054,0.5,1
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,2,1,0,0,0.5,0.55
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,2,4,0.09,0,0.610639115069735,0.3
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,2,7,0.18,0.18,0.5,0.15
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,3,2,0,0,0.5,0.3025
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,3,5,0,0,0.5,0.366510907973013
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,3,8,0,0,0.5,0.274915040712552
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,3,11,0.3,0,0.817574401620406,0.0999575203562762
16,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.054,0.054,18,0,3,14,0.3,0.6,0.182425523806356,0.0225
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,1,0,0.027,0,0.533698711000704,1
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,2,1,0,0,0.5,0.587068582100775
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,2,4,0,0,0.5,0.320219226600423
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,2,7,0.09,0,0.610639115069735,0.160109613300211
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,3,2,0,0,0.5,0.322887720155426
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,3,5,0,0,0.5,0.352241149260465
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,3,8,0,0,0.5,0.291672167133021
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,3,11,0,0,0.5,0.106694399537943
17,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,19,0,3,14,0.3,0,0.817574401620406,0.0293307577739396
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,1,0,0.027,0,0.533698711000704,1
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,2,1,0,0,0.5,0.587068582100775
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,2,4,0,0,0.5,0.320219226600423
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,2,7,0.09,0,0.610639115069735,0.160109613300211
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,3,2,0,0,0.5,0.322887720155426
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,3,5,0,0,0.5,0.352241149260465
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,3,8,0,0,0.5,0.291672167133021
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,3,11,0,0,0.5,0.106694399537943
18,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,20,0,3,14,0.3,0,0.817574401620406,0.0293307577739396
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,1,0,0.027,0,0.533698711000704,1
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,2,1,0,0,0.5,0.587068582100775
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,2,4,0,0,0.5,0.320219226600423
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,2,7,0.09,0,0.610639115069735,0.160109613300211
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,3,2,0,0,0.5,0.322887720155426
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,3,5,0,0,0.5,0.352241149260465
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,3,8,0,0,0.5,0.291672167133021
19,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.027,0,21,0,3,11,0,0,0.5,0.106694399537943
