betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
519,3,2,0.5,0.0135312049205537,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,3,0.5,0.182301271945748,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,4,0.5,0.614020590704305,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,5,0.5,0.0148246457774687,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,6,0.5,0.0998636779667925,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,8,0.5,0.00406043149368009,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,9,0.986791198168786,0.141105861407854,0.862715110454905,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,10,0.986791198168786,0.950535379690323,0.862715110454905,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,12,0.986791198168786,0.077297048739486,0.862715110454905,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,3,16,0.5,0.352376579659841,1,1,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
520,1,0,0.812709570036756,1,0.688980890052105,0.395438230082032,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.628838794988057,0.912786764046049,0.371161205011943,0.0872132359539508,0
520,2,1,0.878381365078463,0.30164626333958,0.395438230082032,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.628838794988057,0.912786764046049,0.371161205011943,0.0872132359539508,0
520,2,2,0.878381365078463,0.741830538543106,0.395438230082032,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.628838794988057,0.912786764046049,0.371161205011943,0.0872132359539508,0
520,2,4,0.878381365078463,0.0708790314936495,0.395438230082032,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.628838794988057,0.912786764046049,0.371161205011943,0.0872132359539508,0
520,2,8,0.762602834964215,0.511063306697175,0.862239359894083,0.628838794988057,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.628838794988057,0.912786764046049,0.371161205011943,0.0872132359539508,0
